Langue;Sexe;Date de naissance;Code postal;Ville;Pays
fr;M;19/11/1978;1480;Tubize;Belgium
fr;F;18/05/1990;1070;Bruxelles;Belgium
fr;M;08/03/1978;1070;Anderlecht;Belgium
fr;F;14/03/1989;1180;Bruxelles;Belgium
fr;M;23/09/2009;1050;Ixelles;Belgium
fr;M;24/12/2012;1180;Uccle;Belgium
fr;M;20/07/2019;1180;UCCLE;Belgium
fr;F;01/08/2009;1190;Bruxelles;Belgium
fr;M;16/06/2015;1190;Forest;Belgium
fr;M;18/10/2001;1060;Saint-Gilles;Belgium
fr;M;04/03/1979;1620;Drogenbos;Belgium
fr;M;09/03/1964;1620;Drogenbos;Belgium
fr;M;04/10/2017;1190;Bruxelles;Belgium
fr;M;29/09/2012;1190;Bruxelles;Belgium
fr;F;03/01/2013;1190;Forest;Belgium
fr;M;12/09/1994;1060;Saint-Gilles;Belgium
fr;M;22/06/2009;1640;Rhode Saint Genèse;Belgium
fr;F;08/08/2012;1600;Sint-Pieters-Leeuw;Belgium
fr;F;28/03/2005;1652;Alsemberg;Belgium
fr;M;28/09/2005;1640;rhode saint genèse;Belgium
fr;M;14/06/2012;1060;SAINT-GILLES;Belgium
fr;M;13/02/2015;1060;bruxelles;Belgium
fr;M;01/01/2017;1180;Uccle;Belgium
fr;M;20/05/2013;1000;Bruxelles;Belgium
fr;M;22/07/2014;1400;Nivelles;Belgium
fr;F;16/01/2009;1180;Uccle;Belgium
fr;F;27/02/2012;1180;Uccle;Belgium
fr;M;03/06/1983;1180;Bruxelles;Belgium
fr;F;18/07/2018;1180;Bruxelles;Belgium
fr;M;16/09/1980;1180;uccle;Belgium
fr;M;21/05/2014;1180;uccle;Belgium
fr;M;05/04/2017;1090;Jette;Belgium
fr;M;03/01/2019;1090;Jette;Belgium
fr;F;20/02/2018;1180;Uccle;Belgium
fr;F;03/02/2014;1180;Bruxelles;Belgium
fr;M;04/11/2015;1180;Bruxelles;Belgium
fr;M;17/05/2012;1180;Uccle;Belgium
fr;M;21/06/2010;1180;Bruxelles;Belgium
fr;F;24/03/1986;1650;Beersel;Belgium
fr;M;09/04/1984;1180;Bruxelles;Belgium
